Id_Reference,Nom_Intersection,Date,Periode,Heure,Minute,NBLT,NBT,NBRT,SBLT,SBT,SBRT,EBLT,EBT,EBRT,WBLT,WBT,WBRT,Approche_Nord,Approche_Sud,Approche_Est,Approche_Ouest,Bus,Circulation
8785,Métropolitain Nord / Provencher,2019-10-30,03:45:00,3,45,3,2,0,0,4,3,0,0,0,5,35,1,0,0,0,0,460,53
8705,Pie-IX / Rouen,2019-11-05,03:45:00,3,45,0,6,0,0,10,1,0,0,0,2,0,0,0,0,0,0,139_439,19
8713,Pie-IX / Rouen,2019-11-07,03:45:00,3,45,1,5,2,0,15,0,1,1,0,2,1,0,0,0,0,0,139_439,28
8786,Métropolitain Nord / Provencher,2019-10-31,03:45:00,3,45,0,3,0,0,5,0,0,0,0,3,12,1,0,0,0,0,460,24
8705,Pie-IX / Rouen,2019-11-05,04:00:00,4,0,1,7,0,2,9,0,0,0,0,2,1,0,0,0,0,0,139_439,22
8709,Pie-IX / Rouen,2019-11-06,04:00:00,4,0,1,2,1,0,9,0,1,0,0,3,2,0,0,0,0,0,139_439,19
8784,Métropolitain Nord / Provencher,2019-10-29,04:00:00,4,0,4,1,0,0,1,3,0,0,0,2,11,1,0,0,0,0,460,23
8785,Métropolitain Nord / Provencher,2019-10-30,04:00:00,4,0,2,5,0,0,3,3,1,0,0,1,66,0,0,0,0,0,460,81
8786,Métropolitain Nord / Provencher,2019-10-31,04:00:00,4,0,4,4,0,0,2,4,0,0,0,2,16,3,0,0,0,0,460,35
8713,Pie-IX / Rouen,2019-11-07,04:00:00,4,0,0,4,2,0,8,1,1,0,0,7,1,0,0,0,0,0,139_439,24
8709,Pie-IX / Rouen,2019-11-06,04:15:00,4,15,0,7,2,1,13,1,0,1,0,3,0,0,0,0,0,0,139_439,28
8784,Métropolitain Nord / Provencher,2019-10-29,04:15:00,4,15,2,2,0,0,4,4,0,0,0,6,22,4,0,0,0,0,460,44
8785,Métropolitain Nord / Provencher,2019-10-30,04:15:00,4,15,1,2,0,0,5,10,0,0,0,3,51,2,0,0,0,0,460,74
8786,Métropolitain Nord / Provencher,2019-10-31,04:15:00,4,15,3,4,0,0,6,8,0,0,0,4,20,3,0,0,0,0,460,48
8705,Pie-IX / Rouen,2019-11-05,04:15:00,4,15,0,4,1,1,18,0,2,1,0,1,1,1,0,0,0,0,139_439,30
8713,Pie-IX / Rouen,2019-11-07,04:15:00,4,15,0,4,3,2,21,1,3,1,1,1,0,0,0,0,0,0,139_439,37
8705,Pie-IX / Rouen,2019-11-05,04:30:00,4,30,0,7,1,0,29,0,0,0,0,2,2,0,0,0,0,0,139_439,41
8713,Pie-IX / Rouen,2019-11-07,04:30:00,4,30,2,8,1,0,26,1,1,0,0,2,3,0,0,0,0,0,139_439,44
8709,Pie-IX / Rouen,2019-11-06,04:30:00,4,30,0,4,3,1,32,2,1,0,0,3,5,1,0,0,0,0,139_439,52
8784,Métropolitain Nord / Provencher,2019-10-29,04:30:00,4,30,3,6,0,0,3,9,0,0,0,3,29,1,0,0,0,0,460,54
8785,Métropolitain Nord / Provencher,2019-10-30,04:30:00,4,30,6,6,0,0,2,11,0,0,0,6,42,3,0,0,0,0,460,76
8786,Métropolitain Nord / Provencher,2019-10-31,04:30:00,4,30,3,1,0,0,4,11,0,0,0,6,33,1,0,0,0,0,460,59
8709,Pie-IX / Rouen,2019-11-06,04:45:00,4,45,2,9,0,0,22,0,3,2,1,3,3,1,0,0,0,0,139_439,46
8784,Métropolitain Nord / Provencher,2019-10-29,04:45:00,4,45,4,8,0,0,8,6,0,0,0,5,58,4,0,0,0,0,460,93
8785,Métropolitain Nord / Provencher,2019-10-30,04:45:00,4,45,7,5,0,0,14,5,0,0,0,6,51,3,0,0,0,0,460,91
8786,Métropolitain Nord / Provencher,2019-10-31,04:45:00,4,45,6,3,0,0,3,8,0,0,0,4,38,2,0,0,0,0,460,64
8705,Pie-IX / Rouen,2019-11-05,04:45:00,4,45,0,2,1,2,26,0,1,1,1,3,1,0,0,0,0,0,139_439,38
8713,Pie-IX / Rouen,2019-11-07,04:45:00,4,45,0,7,4,1,26,1,0,2,2,2,2,0,0,0,0,0,139_439,47
8709,Pie-IX / Rouen,2019-11-06,05:00:00,5,0,2,8,4,2,32,3,0,1,3,1,0,1,0,0,0,0,139_439,57
8784,Métropolitain Nord / Provencher,2019-10-29,05:00:00,5,0,12,5,0,0,14,10,0,0,0,6,69,6,0,0,0,0,460,122
8785,Métropolitain Nord / Provencher,2019-10-30,05:00:00,5,0,11,6,0,0,7,11,0,0,0,1,71,3,0,0,0,0,460,110
8786,Métropolitain Nord / Provencher,2019-10-31,05:00:00,5,0,7,7,0,0,16,13,0,0,0,5,65,5,0,0,0,0,460,118
8705,Pie-IX / Rouen,2019-11-05,05:00:00,5,0,0,13,2,3,35,4,0,1,1,1,0,1,0,0,0,0,139_439,61
8713,Pie-IX / Rouen,2019-11-07,05:00:00,5,0,2,10,4,6,32,1,1,1,1,2,1,1,0,0,0,0,139_439,62
8709,Pie-IX / Rouen,2019-11-06,05:15:00,5,15,1,17,5,3,79,0,1,2,2,7,2,1,0,0,0,0,139_439,120
8705,Pie-IX / Rouen,2019-11-05,05:15:00,5,15,1,22,8,5,86,1,1,2,2,8,5,0,0,0,0,0,139_439,141
8713,Pie-IX / Rouen,2019-11-07,05:15:00,5,15,0,16,2,4,68,2,1,2,2,4,3,0,0,0,0,0,139_439,104
8784,Métropolitain Nord / Provencher,2019-10-29,05:15:00,5,15,18,5,0,0,17,14,0,0,0,7,98,7,0,0,0,0,460,166
8785,Métropolitain Nord / Provencher,2019-10-30,05:15:00,5,15,16,3,0,0,14,13,0,0,0,10,108,6,0,0,0,0,460,170
8786,Métropolitain Nord / Provencher,2019-10-31,05:15:00,5,15,21,7,0,0,13,17,0,0,0,11,88,5,0,0,0,0,460,162
8705,Pie-IX / Rouen,2019-11-05,05:30:00,5,30,0,29,4,9,100,2,0,4,0,5,5,0,0,0,0,0,139_439,158
8713,Pie-IX / Rouen,2019-11-07,05:30:00,5,30,2,17,5,12,97,0,1,4,0,7,7,0,0,0,0,0,139_439,152
8709,Pie-IX / Rouen,2019-11-06,05:30:00,5,30,0,14,5,11,92,0,5,5,1,10,7,0,0,0,0,0,139_439,150
